# Tacoma 25mi batch — 2026-05-08
# Sources: mountaineers.org (10), soundlifedaycamp.com (7), wolfcamp.org (5), i9sports.com (7), breakthroughbasketball.com (5)
name,sport,age_min,age_max,start_date,end_date,address,city,state,zip,description,price_text,day_or_overnight,skill_level,spots_status,contact_email,contact_phone,website_url,lunch_included,aftercare_available,program_type,registration_deadline,schedule_text,confidence
"Sound Life Day Camp - Week 1: Animal Life",general,6,13,2026-06-22,2026-06-26,1301 S Baltimore St,Tacoma,WA,98465,"Tacoma Christian day camp with daily off-site field trips. Week 1 themed Animal Life with trips to Kopachuck wildlife area, Northwest Trek Wildlife Park, Woodland Park Zoo, Tahoma Alpaca Mill, and Friday swimming. Camp hours 8:15am to 4:30pm with free before-care 7:30 to 8:15am and aftercare 4:30 to 5:30pm. One-time $30 registration fee per camper. Campers should bring lunch, water bottle, walking shoes, Bible, and swim suit when needed.","$220/week plus $30 registration",day,all,open,info@soundlifedaycamp.com,(253) 548-5415,https://www.soundlifedaycamp.com/tacoma,FALSE,TRUE,camp,,,high
"Sound Life Day Camp - Week 2: Super Cool",general,6,13,2026-06-29,2026-07-02,1301 S Baltimore St,Tacoma,WA,98465,"Tacoma Christian day camp with daily off-site field trips. Week 2 themed Super Cool with trips to USS Turner Joy, Gig Harbor Air Museum, Undersea Naval Museum, and Wild Waves Theme & Water Park. No camp on July 3. Camp hours 8:15am to 4:30pm with free before-care 7:30 to 8:15am and aftercare 4:30 to 5:30pm. One-time $30 registration fee per camper.","$220/week plus $30 registration",day,all,open,info@soundlifedaycamp.com,(253) 548-5415,https://www.soundlifedaycamp.com/tacoma,FALSE,TRUE,camp,,,high
"Sound Life Day Camp - Week 3: Build It Yourself",general,6,13,2026-07-06,2026-07-10,1301 S Baltimore St,Tacoma,WA,98465,"Tacoma Christian day camp with daily off-site field trips. Week 3 themed Build It Yourself with trips to LeMay Auto Museum, kite building and flying, bike riding, a box car team challenge, and Friday swimming. Camp hours 8:15am to 4:30pm with free before-care 7:30 to 8:15am and aftercare 4:30 to 5:30pm. One-time $30 registration fee per camper.","$220/week plus $30 registration",day,all,open,info@soundlifedaycamp.com,(253) 548-5415,https://www.soundlifedaycamp.com/tacoma,FALSE,TRUE,camp,,,high
"Sound Life Day Camp - Week 4: Sweets",general,6,13,2026-07-13,2026-07-17,1301 S Baltimore St,Tacoma,WA,98465,"Tacoma Christian day camp with daily off-site field trips. Week 4 themed Sweets with an ice cream taste challenge, Seattle Chocolate Factory, donuts in the South Sound, Boehm Chocolate Factory, and Friday swimming. Camp hours 8:15am to 4:30pm with free before-care 7:30 to 8:15am and aftercare 4:30 to 5:30pm. One-time $30 registration fee per camper.","$220/week plus $30 registration",day,all,open,info@soundlifedaycamp.com,(253) 548-5415,https://www.soundlifedaycamp.com/tacoma,FALSE,TRUE,camp,,,high
"Sound Life Day Camp - Week 5: Mariners",general,6,13,2026-07-20,2026-07-24,1301 S Baltimore St,Tacoma,WA,98465,"Tacoma Christian day camp with daily off-site field trips. Week 5 themed Mariners with ice blocking, boating and tubing days, a Mariners baseball game, and Friday swimming. Camp hours 8:15am to 4:30pm with free before-care 7:30 to 8:15am and aftercare 4:30 to 5:30pm. One-time $30 registration fee per camper.","$220/week plus $30 registration",day,all,open,info@soundlifedaycamp.com,(253) 548-5415,https://www.soundlifedaycamp.com/tacoma,FALSE,TRUE,camp,,,high
"Sound Life Day Camp - Week 6: Adventure",general,6,13,2026-07-27,2026-07-31,1301 S Baltimore St,Tacoma,WA,98465,"Tacoma Christian day camp with daily off-site field trips. Week 6 themed Adventure with ice skating, canoeing at Sunset Lake, blueberry picking, the Olympia Farmers Market, and Friday swimming. Camp hours 8:15am to 4:30pm with free before-care 7:30 to 8:15am and aftercare 4:30 to 5:30pm. One-time $30 registration fee per camper.","$220/week plus $30 registration",day,all,open,info@soundlifedaycamp.com,(253) 548-5415,https://www.soundlifedaycamp.com/tacoma,FALSE,TRUE,camp,,,high
"Sound Life Day Camp - Week 7: Aquatics",general,6,13,2026-08-03,2026-08-07,1301 S Baltimore St,Tacoma,WA,98465,"Tacoma Christian day camp with daily off-site field trips. Week 7 themed Aquatics with multiple boating and tubing days, a Pike Place Market trip, and Friday swimming. Camp hours 8:15am to 4:30pm with free before-care 7:30 to 8:15am and aftercare 4:30 to 5:30pm. One-time $30 registration fee per camper.","$220/week plus $30 registration",day,all,open,info@soundlifedaycamp.com,(253) 548-5415,https://www.soundlifedaycamp.com/tacoma,FALSE,TRUE,camp,,,high
"Wolf Camp Puyallup - Wilderness Survival Craft",outdoor,7,14,2026-07-13,2026-07-17,1710 12th Ave SW,Puyallup,WA,98371,"Hands-on wilderness survival day camp at Clark's Creek Park South Shelter and the Blue Skye Farm. Campers practice fire-building, shelter construction, knife and tool skills, and basic outdoor survival. Daily schedule runs 9:00am to 3:45pm with morning lessons, lunch with games and archery, and afternoon activities. No prerequisites required. 6:1 student-teacher ratio.","$495 full tuition (sliding scale available)",day,beginner,waitlist,blueskyefarmschool@gmail.com,(425) 248-0253,https://wolfcamp.org/youth/summer-day-camps-for-kids/puyallup-tacoma/,FALSE,FALSE,camp,,,high
"Wolf Camp Puyallup - Wildlife Search & Rescue",outdoor,7,14,2026-07-20,2026-07-24,1710 12th Ave SW,Puyallup,WA,98371,"Wildlife tracking and search and rescue day camp at Clark's Creek Park South Shelter and Blue Skye Farm. Campers hike with day packs, learn to read animal tracks and bird signs, and follow lessons that adapt to where the wildlife leads. No prerequisites required. 6:1 student-teacher ratio. Daily schedule 9:00am to 3:45pm with morning lessons, lunch with games and archery, and afternoon activities.","$495 full tuition (sliding scale available)",day,beginner,waitlist,blueskyefarmschool@gmail.com,(425) 248-0253,https://wolfcamp.org/youth/summer-day-camps-for-kids/puyallup-tacoma/,FALSE,FALSE,camp,,,high
"Wolf Camp Puyallup - Wild Cooking & Herbology",outdoor,7,14,2026-07-27,2026-07-31,1710 12th Ave SW,Puyallup,WA,98371,"Wild edible plants and outdoor cooking day camp at Clark's Creek Park South Shelter and Blue Skye Farm in Puyallup. Campers identify edible and medicinal plants, prepare wild foods over campfires, and learn herbology basics. Best for campers focused in group learning environments or returning students. Daily schedule 9:00am to 3:45pm. 6:1 student-teacher ratio.","$495 full tuition (sliding scale available)",day,beginner,open,blueskyefarmschool@gmail.com,(425) 248-0253,https://wolfcamp.org/youth/summer-day-camps-for-kids/puyallup-tacoma/,FALSE,FALSE,camp,,,high
