name,sport,age_min,age_max,start_date,end_date,address,city,state,zip,description,price_text,day_or_overnight,skill_level,spots_status,contact_email,contact_phone,website_url,lunch_included,aftercare_available,program_type,registration_deadline,schedule_text,confidence
"i9 Sports Soccer League - Todd Beamer (Spring 2026)",soccer,4,11,2026-04-25,2026-06-06,"35999 16th Ave S","Federal Way",WA,98003,"i9 Sports co-ed youth soccer league at Todd Beamer High School in Federal Way. Six-week Spring 2026 season with practice and a game on Saturdays at the same field, one day per week. Age divisions 4-5, 6-8, and 9-11. Program is run by the Tacoma/Lakewood/Federal Way i9 Sports franchise office (League Office 489).","$158.00",day,all,open,shanice.switzer@i9sports.com,(253) 215-1266,https://www.i9sports.com/venues/federal-way-todd-beamer-high-school-youth-sports-programs/10118,FALSE,FALSE,league,,"Saturdays, practice and game between 9:00 AM and 2:00 PM (varies by age division)",high
"i9 Sports Baseball League - Todd Beamer (Spring 2026)",baseball,3,6,2026-04-25,2026-06-06,"35999 16th Ave S","Federal Way",WA,98003,"i9 Sports co-ed youth baseball league at Todd Beamer High School in Federal Way for ages 3-6. Six-week Spring 2026 season with practice and game on the same Saturday, one day per week. Age divisions 3-4 and 5-6 each meet between 9:00 AM and 12:00 PM. Run by the Tacoma/Lakewood/Federal Way i9 Sports franchise office (League Office 489).","$158.00",day,beginner,open,shanice.switzer@i9sports.com,(253) 215-1266,https://www.i9sports.com/venues/federal-way-todd-beamer-high-school-youth-sports-programs/10118,FALSE,FALSE,league,,"Saturdays 9:00 AM - 12:00 PM",high
"i9 Sports Soccer League - Lakes High School (Spring 2026)",soccer,4,9,2026-04-26,2026-06-07,"10320 Farwest Dr SW",Lakewood,WA,98498,"i9 Sports co-ed youth soccer league at Lakes High School in Lakewood. Six-week Spring 2026 season meeting Sundays, with practice and game on the same field one day per week. Age divisions are 4, 5-6, 7-8, and 9. Run by the Tacoma/Lakewood/Federal Way i9 Sports franchise office (League Office 489).","$158.00",day,all,open,shanice.switzer@i9sports.com,(253) 215-1266,https://www.i9sports.com/venues/lakewood-lakes-high-school-youth-sports-programs/9861,FALSE,FALSE,league,,"Sundays between 9:00 AM and 5:00 PM (time varies by age division)",high
"i9 Sports Baseball League - Lakes High School (Spring 2026)",baseball,3,6,2026-04-26,2026-06-07,"10320 Farwest Dr SW",Lakewood,WA,98498,"i9 Sports co-ed youth baseball league at Lakes High School in Lakewood for ages 3-6. Six-week Spring 2026 season meeting Sundays, with practice and game on the same day. Age divisions 3-4 and 5-6 each play between 9:00 AM and 12:00 PM. Run by the Tacoma/Lakewood/Federal Way i9 Sports franchise office (League Office 489).","$158.00",day,beginner,open,shanice.switzer@i9sports.com,(253) 215-1266,https://www.i9sports.com/venues/lakewood-lakes-high-school-youth-sports-programs/9861,FALSE,FALSE,league,,"Sundays 9:00 AM - 12:00 PM",high
"Nike Soccer Camp at Hilltop Heritage Middle School (June 29 - July 3)",soccer,5,15,2026-06-29,2026-07-03,"602 N Sprague Ave",Tacoma,WA,98403,"Nike Soccer Camp run by US Sports Camps and directed by former Tacoma Stars professional Alex Megson. Five-day summer day camp at Hilltop Heritage Middle School. Two programs run side by side: Early Childhood Development for ages 5-6 (half day, 9 AM-12 PM, $280) and Player Development for ages 7-15 with half day ($280) or full day 9 AM-3 PM ($390). Campers are grouped by age, ability, and experience and work on technical training, small-sided games, and tactical work. Lunch is not provided.","$280-$390",day,all,open,,(800) 645-3226,https://www.ussportscamps.com/soccer/nike/nike-soccer-camp-hilltop-heritage-middle-school,FALSE,FALSE,camp,,,high
"Nike Soccer Camp at Hilltop Heritage Middle School (July 27 - July 31)",soccer,5,15,2026-07-27,2026-07-31,"602 N Sprague Ave",Tacoma,WA,98403,"Second 2026 session of the Nike Soccer Camp at Hilltop Heritage Middle School in Tacoma, run by US Sports Camps and directed by former Tacoma Stars pro Alex Megson. Five-day summer day camp running July 27 to July 31. Programs include Early Childhood Development for ages 5-6 (half day only, 9 AM-12 PM, $280) and Player Development for ages 7-15 with half day ($280) or full day 9 AM-3 PM ($390). Lunch is not provided. Players bring soccer cleats, shin guards, and a water bottle.","$280-$390",day,all,open,,(800) 645-3226,https://www.ussportscamps.com/soccer/nike/nike-soccer-camp-hilltop-heritage-middle-school,FALSE,FALSE,camp,,,high
"Nike Soccer Camp with Tacoma Stars at Tacoma Soccer Center",soccer,4,15,2026-06-22,2026-06-26,"2610 E Bay St",Tacoma,WA,98421,"Nike Soccer Camp coached by Tacoma Stars pro indoor staff and run through US Sports Camps. Five-day day camp held on indoor turf at the Tacoma Soccer Center. Future Stars program for ages 4-6 runs as a half day. Player Development for ages 7-15 is offered as half day ($280) or full day ($390). Camp Director is Alex Caceres. Curriculum focuses on technical precision, quick decision-making, and indoor-style training.","$280-$390",day,all,open,,(800) 645-3226,https://www.ussportscamps.com/soccer/nike/nike-soccer-camp-tacoma-stars-tacoma-soccer-center,FALSE,FALSE,camp,,,high
"Nike Soccer Camp with Tacoma Stars at SERA Sports Complex",soccer,4,15,2026-06-29,2026-07-03,"6002 S Adams St",Tacoma,WA,98409,"Nike Soccer Camp coached by Tacoma Stars staff at SERA Sports Complex in Tacoma, run through US Sports Camps. Five-day day camp on turf with two programs: Future Stars for ages 4-6 (half day, $280) and Player Development for ages 7-15 (half day $280 or full day $390). Players are grouped by age and ability with a focus on indoor-style technical training, small-sided games, and tactical work.","$280-$390",day,all,open,,(800) 645-3226,https://www.ussportscamps.com/soccer/nike/nike-soccer-camp-tacoma-stars-sera,FALSE,FALSE,camp,,,high
"Challenger Sports Foundational Skills Camp - DuPont Week 1",soccer,3,14,2026-06-22,2026-06-26,"1775 Bobs Hollow Ln",DuPont,WA,98327,"Challenger Sports Foundational Skills Camp held at DuPont Powder Works Park in coordination with DuPont Park & Recreations. Five-day day camp where international coaching staff lead age-grouped technical training and small-sided games for ages 3 to 14. Sessions emphasize ball control, dribbling, passing, and game understanding. Shin guards are required for ages 6 and up or any session over three hours.","$119-$349",day,all,open,,,https://challengersports.com/camps/dupont-park-and-recreations-week-1-dupont-wa/,FALSE,FALSE,camp,,,high
"Challenger Sports Foundational Skills Camp - DuPont Week 2",soccer,3,14,2026-07-20,2026-07-24,"1775 Bobs Hollow Ln",DuPont,WA,98327,"Second week of the Challenger Sports Foundational Skills Camp at DuPont Powder Works Park, run with DuPont Park & Recreations. Five-day soccer day camp for ages 3-14 led by international coaches with age-appropriate technical instruction, small-sided games, and a tactical introduction. Multiple session lengths are offered with early-bird pricing applied at checkout.","$119-$349",day,all,open,,,https://challengersports.com/camps/dupont-park-and-recreations-week-2-dupont-wa/,FALSE,FALSE,camp,,,high
