name,sport,age_min,age_max,start_date,end_date,address,city,state,zip,description,price_text,day_or_overnight,skill_level,spots_status,contact_email,contact_phone,website_url,lunch_included,aftercare_available,program_type,registration_deadline,schedule_text,confidence
"Nike Soccer Camp at Hilltop Heritage Middle School - Early Childhood Development (June 29–July 3, 2026)",general,,,2026-06-29,2026-07-03,602 N Sprague Ave,Tacoma,WA,98403,"Get better this summer at the Nike Soccer Camp at Hilltop Heritage Middle School in Tacoma, WA. Directing the camp will be Bridges founder and experienced coach, Alex Megson. This summer camp is for girls and boys ages 5-15 of all skill levels. This camp provides the perfect blend of instruction and fun. Make friends and memories that last a lifetime!",$280,day,all,open,,,https://www.ussportscamps.com/soccer/nike/nike-soccer-camp-hilltop-heritage-middle-school#session-84022-1219826,FALSE,FALSE,camp,,,medium
"Nike Soccer Camp at Hilltop Heritage Middle School - Player Development (June 29–July 3, 2026)",general,,,2026-06-29,2026-07-03,602 N Sprague Ave,Tacoma,WA,98403,"Get better this summer at the Nike Soccer Camp at Hilltop Heritage Middle School in Tacoma, WA. Directing the camp will be Bridges founder and experienced coach, Alex Megson. This summer camp is for girls and boys ages 5-15 of all skill levels. This camp provides the perfect blend of instruction and fun. Make friends and memories that last a lifetime!",$280,day,all,open,,,https://www.ussportscamps.com/soccer/nike/nike-soccer-camp-hilltop-heritage-middle-school#session-79276-1212801,FALSE,FALSE,camp,,,medium
"Nike Soccer Camp at Hilltop Heritage Middle School - Player Development (June 29–July 3, 2026)",general,,,2026-06-29,2026-07-03,602 N Sprague Ave,Tacoma,WA,98403,"Get better this summer at the Nike Soccer Camp at Hilltop Heritage Middle School in Tacoma, WA. Directing the camp will be Bridges founder and experienced coach, Alex Megson. This summer camp is for girls and boys ages 5-15 of all skill levels. This camp provides the perfect blend of instruction and fun. Make friends and memories that last a lifetime!",$390,day,all,open,,,https://www.ussportscamps.com/soccer/nike/nike-soccer-camp-hilltop-heritage-middle-school#session-79276-1212802,FALSE,FALSE,camp,,,medium
"Nike Soccer Camp at Hilltop Heritage Middle School - Early Childhood Development (July 27–31, 2026)",general,,,2026-07-27,2026-07-31,602 N Sprague Ave,Tacoma,WA,98403,"Get better this summer at the Nike Soccer Camp at Hilltop Heritage Middle School in Tacoma, WA. Directing the camp will be Bridges founder and experienced coach, Alex Megson. This summer camp is for girls and boys ages 5-15 of all skill levels. This camp provides the perfect blend of instruction and fun. Make friends and memories that last a lifetime!",$280,day,all,open,,,https://www.ussportscamps.com/soccer/nike/nike-soccer-camp-hilltop-heritage-middle-school#session-84068-1219887,FALSE,FALSE,camp,,,medium
"Nike Soccer Camp at Hilltop Heritage Middle School - Player Development (July 27–31, 2026)",general,,,2026-07-27,2026-07-31,602 N Sprague Ave,Tacoma,WA,98403,"Get better this summer at the Nike Soccer Camp at Hilltop Heritage Middle School in Tacoma, WA. Directing the camp will be Bridges founder and experienced coach, Alex Megson. This summer camp is for girls and boys ages 5-15 of all skill levels. This camp provides the perfect blend of instruction and fun. Make friends and memories that last a lifetime!",$280,day,all,open,,,https://www.ussportscamps.com/soccer/nike/nike-soccer-camp-hilltop-heritage-middle-school#session-84067-1219885,FALSE,FALSE,camp,,,medium
"Nike Soccer Camp at Hilltop Heritage Middle School - Player Development (July 27–31, 2026)",general,,,2026-07-27,2026-07-31,602 N Sprague Ave,Tacoma,WA,98403,"Get better this summer at the Nike Soccer Camp at Hilltop Heritage Middle School in Tacoma, WA. Directing the camp will be Bridges founder and experienced coach, Alex Megson. This summer camp is for girls and boys ages 5-15 of all skill levels. This camp provides the perfect blend of instruction and fun. Make friends and memories that last a lifetime!",$390,day,all,open,,,https://www.ussportscamps.com/soccer/nike/nike-soccer-camp-hilltop-heritage-middle-school#session-84067-1219886,FALSE,FALSE,camp,,,medium
"Nike Soccer Camp with Tacoma Stars at Tacoma Soccer Center - Future Stars (June 22–26, 2026)",general,,,2026-06-22,2026-06-26,2610 E Bay St,Tacoma,WA,98421,"Train with one of the Pacific Northwest’s premier professional indoor programs at the Nike Soccer Camp with the Tacoma Stars, hosted at Tacoma Soccer Center in the greater Seattle area. This coed day camp delivers a dynamic training environment built for players of all ages, blending high-energy instruction with the fast-paced style of indoor soccer on turf. Led by coaches from the Tacoma Stars, campers will develop technical precision, quick decision-making, and confidence on the ball through a proven, player-first training approach.",$280,day,all,open,,,https://www.ussportscamps.com/soccer/nike/nike-soccer-camp-tacoma-stars-tacoma-soccer-center#session-84987-1221161,FALSE,FALSE,camp,,,medium
"Nike Soccer Camp with Tacoma Stars at Tacoma Soccer Center - Player Development (June 22–26, 2026)",general,,,2026-06-22,2026-06-26,2610 E Bay St,Tacoma,WA,98421,"Train with one of the Pacific Northwest’s premier professional indoor programs at the Nike Soccer Camp with the Tacoma Stars, hosted at Tacoma Soccer Center in the greater Seattle area. This coed day camp delivers a dynamic training environment built for players of all ages, blending high-energy instruction with the fast-paced style of indoor soccer on turf. Led by coaches from the Tacoma Stars, campers will develop technical precision, quick decision-making, and confidence on the ball through a proven, player-first training approach.",$280,day,all,open,,,https://www.ussportscamps.com/soccer/nike/nike-soccer-camp-tacoma-stars-tacoma-soccer-center#session-84986-1221160,FALSE,FALSE,camp,,,medium
"Nike Soccer Camp with Tacoma Stars at Tacoma Soccer Center - Player Development (June 22–26, 2026)",general,,,2026-06-22,2026-06-26,2610 E Bay St,Tacoma,WA,98421,"Train with one of the Pacific Northwest’s premier professional indoor programs at the Nike Soccer Camp with the Tacoma Stars, hosted at Tacoma Soccer Center in the greater Seattle area. This coed day camp delivers a dynamic training environment built for players of all ages, blending high-energy instruction with the fast-paced style of indoor soccer on turf. Led by coaches from the Tacoma Stars, campers will develop technical precision, quick decision-making, and confidence on the ball through a proven, player-first training approach.",$390,day,all,open,,,https://www.ussportscamps.com/soccer/nike/nike-soccer-camp-tacoma-stars-tacoma-soccer-center#session-84986-1221159,FALSE,FALSE,camp,,,medium
"Nike Soccer Camp with Tacoma Stars at SERA Sports Complex - Future Stars (June 29–July 3, 2026)",general,,,2026-06-29,2026-07-03,6002 S Adams St,Tacoma,WA,98409,"Train with one of the Pacific Northwest’s premier professional indoor programs at the Nike Soccer Camp with the Tacoma Stars, hosted at SERA Sports Complex in the greater Seattle area. This coed day camp delivers a dynamic training environment built for players of all ages, blending high-energy instruction with the fast-paced style of indoor soccer on turf. Led by coaches from the Tacoma Stars, campers will develop technical precision, quick decision-making, and confidence on the ball through a proven, player-first training approach.",$280,day,all,open,,,https://www.ussportscamps.com/soccer/nike/nike-soccer-camp-tacoma-stars-sera#session-84989-1221164,FALSE,FALSE,camp,,,medium
